fips,county_name,state_abbr,poverty_pct,median_income,total_pop,minority_pct,black_pct,hispanic_pct,monitor_count,has_monitor,monitors_per_100k
01001,Autauga County,AL,11.7,68857.0,60342,28.636770408670575,21.40631732458321,3.853037685194392,0,0,0.0
01003,Baldwin County,AL,10.0,74248.0,253507,17.73205473616113,8.438031296966159,5.782088857506893,1,1,0.39446642499023693
01005,Barbour County,AL,25.5,45298.0,24585,55.23693308928208,47.11409395973154,6.211104331909701,0,0,0.0
01007,Bibb County,AL,19.4,56025.0,21868,26.29412840680446,20.6145966709347,3.6125845985000913,0,0,0.0
01009,Blount County,AL,12.8,64962.0,59816,14.551290624582048,2.037916276581517,10.515581115420623,0,0,0.0
01011,Bullock County,AL,33.6,36204.0,9897,77.70031322623016,70.72850358694554,6.173587955946246,0,0,0.0
01013,Butler County,AL,23.6,44729.0,18382,49.668153628549675,45.12566641279513,1.7517136329017517,0,0,0.0
01015,Calhoun County,AL,20.1,51841.0,116429,30.306882305954698,22.353537348942275,4.758264693504196,0,0,0.0
01017,Chambers County,AL,17.1,50390.0,34079,45.63514187622876,39.72827841192523,4.131576630769683,0,0,0.0
01019,Cherokee County,AL,15.6,56400.0,25666,9.148289565962752,4.270240785474948,1.9169329073482428,0,0,0.0
01021,Chilton County,AL,15.3,59165.0,46431,22.054231009454895,10.320690917705843,10.090241433525016,0,0,0.0
01023,Choctaw County,AL,24.8,47432.0,12252,43.143976493633694,40.73620633365981,1.256937642833823,0,0,0.0
01025,Clarke County,AL,19.0,50868.0,22337,48.605452836101534,45.49850024622823,1.2803868021668083,0,0,0.0
01027,Clay County,AL,16.9,52077.0,14111,19.97023598611013,13.840266458791014,3.4299482673091912,1,1,7.086669973779321
01029,Cleburne County,AL,15.8,59526.0,15639,7.244708740968098,3.094827034976661,2.0781379883624274,0,0,0.0
01031,Coffee County,AL,16.5,64737.0,55643,32.04356343115935,17.103678809553763,9.943748539798358,0,0,0.0
01033,Colbert County,AL,15.4,57770.0,58361,22.746354586110584,15.739963331676977,3.6514110450472064,0,0,0.0
01035,Conecuh County,AL,26.5,46702.0,11174,50.24163236083765,45.20315017003759,3.0875246107034187,0,0,0.0
01037,Coosa County,AL,18.2,59736.0,10268,33.365796649785736,28.73003506038177,2.55161667315933,0,0,0.0
01039,Covington County,AL,16.7,50119.0,37952,17.495784148397973,12.55533305227656,2.0789418212478923,0,0,0.0
